date,spy_open,spy_high,spy_low,spy_adj_close,spy_volume,log_return,umich_sentiment,vix,sent_vix_gap
2010-01-05,84.744011,85.058265,84.437236,85.020851,111579900,0.002644,74.4,20.643158,0.000998
2010-01-06,84.938554,85.290221,84.871217,85.080719,116074400,0.000704,74.4,20.643158,0.000998
2010-01-07,84.923535,85.544563,84.684103,85.439812,131091100,0.004212,74.4,20.643158,0.000998
2010-01-08,85.215358,85.761565,85.04327,85.724152,126402800,0.003322,74.4,20.643158,0.000998
2010-01-11,86.105788,86.143196,85.477276,85.84391,106375700,0.001396,74.4,20.643158,0.000998
2010-01-12,85.27526,85.454833,84.714091,85.043312,163333500,-0.00937,74.4,20.643158,0.000998
2010-01-13,85.260289,86.001036,84.826322,85.761604,161822000,0.008411,74.4,20.643158,0.000998
2010-01-14,85.664309,86.150657,85.611934,85.99353,115718800,0.002701,74.4,20.643158,0.000998
2010-01-15,85.843881,85.926181,84.699092,85.028313,212283100,-0.011288,74.4,20.643158,0.000998
2010-01-19,85.013364,86.143181,84.990913,86.090805,139172700,0.012418,74.4,20.643158,0.000998
2010-01-20,85.507162,85.634359,84.534473,85.215355,216490200,-0.010221,74.4,20.643158,0.000998
2010-01-21,85.237813,85.49969,83.472001,83.576752,344859600,-0.019416,74.4,20.643158,0.000998
2010-01-22,83.202666,83.606709,81.62391,81.713699,345942400,-0.022544,74.4,20.643158,0.000998
2010-01-25,82.461911,82.61156,81.863335,82.13269,186937500,0.005114,74.4,20.643158,0.000998
2010-01-26,81.810951,82.65645,81.586487,81.788506,211168800,-0.004199,74.4,20.643158,0.000998
2010-01-27,81.683735,82.364623,81.055229,82.177567,271863600,0.004746,74.4,20.643158,0.000998
2010-01-28,82.446983,82.491875,80.74103,81.234856,316104000,-0.011538,74.4,20.643158,0.000998
2010-01-29,81.586471,82.155124,80.224701,80.351898,310677600,-0.010929,74.4,20.643158,0.000998
2010-02-01,80.920551,81.608917,80.434203,81.601433,187865000,0.015431,73.6,22.54,0.244007
2010-02-02,81.751087,82.746223,81.466758,82.589096,216327900,0.012031,73.6,22.54,0.244007
2010-02-03,82.214974,82.663914,81.938135,82.177567,172730700,-0.004995,73.6,22.54,0.244007
2010-02-04,81.541583,81.578991,79.626123,79.64109,356715700,-0.031352,73.6,22.54,0.244007
2010-02-05,79.730898,79.97033,78.249415,79.805725,493585800,0.002065,73.6,22.54,0.244007
2010-02-08,79.865543,80.306999,79.169694,79.229553,224166900,-0.007246,73.6,22.54,0.244007
2010-02-09,80.157388,80.920581,79.513914,80.224731,337820500,0.012482,73.6,22.54,0.244007
2010-02-10,80.097496,80.509016,79.394162,80.067566,240511500,-0.001961,73.6,22.54,0.244007
2010-02-11,79.962834,80.995383,79.498932,80.905594,223591600,0.010412,73.6,22.54,0.244007
2010-02-12,80.052648,80.883179,79.693503,80.838287,304622100,-0.000832,73.6,22.54,0.244007
2010-02-16,81.451816,82.192558,80.673661,82.110252,159317500,0.015612,73.6,22.54,0.244007
